"","SG_UF","REGIAO","NM_MUNICIPIO","total_receita","total_beneficiarios","media_receita","tt_abstMulher","tt_aptMulher","percAbsT_Mulher","total_abstencao","total_aptos","perc_abstencao","abstFEMININA","abtMASCULINA"
"207","BA","Nordeste","ANAGE",885476,4818,183.78497301785,4999,18442,0.271066044897517,9881,36696,0.269266405057772,0.505920453395405,0.494079546604595
"208","BA","Nordeste","ANDARAI",648836,2779,233.478229578985,3133,10654,0.294067955697391,6523,21222,0.307369710677599,0.480300475241453,0.519699524758547
"209","BA","Nordeste","ANDORINHA",407812,2600,156.850769230769,2145,11432,0.187631210636809,4301,23236,0.185100705801343,0.498721227621483,0.501278772378517
"210","BA","Nordeste","ANGICAL",733607,2902,252.793590627154,2532,11958,0.211741093828399,5452,24816,0.21969696969697,0.46441672780631,0.53558327219369
"211","BA","Nordeste","ANGUERA",297409,1585,187.639747634069,1912,9014,0.21211448857333,3948,17662,0.223530743970105,0.484295845997974,0.515704154002026
"212","BA","Nordeste","ANTAS",336164,2180,154.203669724771,2751,10750,0.255906976744186,5528,21216,0.260558069381599,0.497648335745297,0.502351664254703
"213","BA","Nordeste","ANTONIO CARDOSO",518217,2284,226.890105078809,1666,11246,0.148141561444069,2936,21448,0.136889220440134,0.567438692098093,0.432561307901907
"214","BA","Nordeste","ANTONIO GONCALVES",436286,1903,229.262217551235,1952,8284,0.235634958957026,4068,16392,0.248169838945827,0.47984267453294,0.52015732546706
"215","BA","Nordeste","APORA",610385,2972,205.378532974428,3879,13196,0.293952712943316,8163,26474,0.308340258366699,0.475192943770673,0.524807056229327
"216","BA","Nordeste","APUAREMA",359326,1454,247.129298486933,885,5246,0.168699961875715,1762,10364,0.170011578541104,0.502270147559591,0.497729852440409
"217","BA","Nordeste","ARACAS",453402,2372,191.147554806071,1447,9426,0.153511563759813,3106,18412,0.168694329784923,0.465872504829363,0.534127495170637
"218","BA","Nordeste","ARACATU",497845,2505,198.740518962076,1463,10656,0.137293543543544,3053,21998,0.138785344122193,0.479200786112021,0.520799213887979
"219","BA","Nordeste","ARACI",1614161,9141,176.584728147905,12104,40290,0.30042194092827,25185,79936,0.315064551641313,0.480603533849514,0.519396466150486
"220","BA","Nordeste","ARAMARI",359442,1934,185.854188210962,1496,8792,0.170154686078253,3057,17124,0.178521373510862,0.489368662087013,0.510631337912987
"221","BA","Nordeste","ARATACA",527451,2412,218.677860696517,1308,5934,0.220424671385238,2757,11836,0.23293342345387,0.47442872687704,0.52557127312296
"222","BA","Nordeste","ARATUIPE",403451,1785,226.022969187675,1926,7994,0.240930698023518,3994,15708,0.254265342500637,0.482223335002504,0.517776664997496
"223","BA","Nordeste","AURELINO LEAL",560705,2395,234.114822546973,2340,9660,0.242236024844721,4618,18518,0.249378982611513,0.50671286271113,0.49328713728887
"224","BA","Nordeste","BAIANOPOLIS",791411,2836,279.058885754584,2534,11338,0.223496207443994,5385,23164,0.232472802624763,0.470566388115135,0.529433611884865
"225","BA","Nordeste","BAIXA GRANDE",677674,3431,197.515010201108,4519,15824,0.285578867542973,9096,31040,0.293041237113402,0.496811785400176,0.503188214599824
"226","BA","Nordeste","BANZAE",550982,2248,245.098754448399,1574,9374,0.167911243866012,2873,18392,0.156209221400609,0.547859380438566,0.452140619561434
"227","BA","Nordeste","BARRA",1928850,8633,223.427545465076,9521,35132,0.27100648980986,20146,71464,0.281904175528938,0.472600019855058,0.527399980144942
"228","BA","Nordeste","BARRA DA ESTIVA",606293,3672,165.112472766885,3883,18850,0.205994694960212,7776,37708,0.206216187546409,0.499356995884774,0.500643004115226
"229","BA","Nordeste","BARRA DO CHOCA",1230947,5985,205.67201336675,7166,28718,0.249529911553729,15184,56602,0.268259072117593,0.471944151738672,0.528055848261328
"230","BA","Nordeste","BARRA DO MENDES",422934,2377,177.927639882204,3431,12460,0.275361155698234,6929,24640,0.281209415584416,0.495165247510463,0.504834752489537
"231","BA","Nordeste","BARRA DO ROCHA",197096,933,211.24973204716,1080,3932,0.274669379450661,2184,7762,0.281370780726617,0.494505494505495,0.505494505494505
"232","BA","Nordeste","BARREIRAS",1777022,11307,157.16122755815,13724,97004,0.1414787019092,27943,184420,0.151518273506127,0.491142683319615,0.508857316680385
